code,name,name_eng,price,shares_common,mcap_common,mcap_total,corp_code,induty_code,fiscal_month,fs_div,currency,fin_rule,net_income_parent,equity_parent,net_income_parent_prior,equity_parent_prior,dps_common,eps_reported,payout_reported_pct,valueup_plan,valueup_first_plan_date,valueup_first_preview_date,valueup_filings,is_financial
241560,두산밥캣,Doosan Bobcat Inc.,57700,95856065,5530894950500,5530894950500,01032486,29241,12,CFS,USD,standard,282899000.0,5011583000.0,413029000.0,4690139000.0,1700.0,4196.0,40.4,True,20241216,20241028,4,False
377300,카카오페이,kakaopay Corp.,40650,135300622,5499970284300,5499970284300,01244601,66199,12,CFS,KRW,standard,45239190490.0,1900416647054.0,-13717997285.0,1861202678487.0,0.0,335.0,0.0,False,,,0,True
000100,유한양행,YUHAN CORPORATION,74100,73615781,5454929372100,5530834646100,00145109,212,12,CFS,KRW,equity = total - NCI,194079171666.0,2306842780631.0,70687449399.0,2100543104237.0,600.0,2599.0,23.1,True,20241031,,1,False
052690,한전기술,"KEPCO Engineering & Construction Company, Inc",130400,38220000,4983888000000,4983888000000,00159209,72129,12,CFS,KRW,standard,85367742275.0,624966182864.0,58512128400.0,577473652879.0,1347.0,2244.0,60.0,True,20241231,,3,False
029780,삼성카드,"SAMSUNG CARD CO.,LTD",42450,115858891,4918209922950,4918209922950,00126292,64913,12,CFS,KRW,"no NCI, NI = total NI",645923000000.0,8863284000000.0,664593000000.0,8486181000000.0,2800.0,6053.0,46.3,True,20260319,,1,True
138930,BNK금융지주,BNK Financial Group Inc.,15970,306839751,4900230823470,4900230823470,00858364,64992,12,CFS,KRW,standard,815002450431.0,10793081382588.0,728547763216.0,10698820606601.0,735.0,2512.0,28.12,True,20241030,20240731,5,True
088350,한화생명,"HANWHA LIFE INSURANCE CO., LTD.",5640,868530000,4898509200000,4898509200000,00113058,65110,12,CFS,KRW,standard,641310000000.0,13875234000000.0,737254000000.0,11817571000000.0,0.0,693.0,0.0,False,,,0,True
454910,두산로보틱스,Doosan Robotics Inc.,70800,64819980,4589254584000,4589254584000,01105153,2928,12,CFS,KRW,standard,-55495341539.0,348594990774.0,-36560851475.0,402501180228.0,0.0,-856.0,0.0,False,,,0,False
036570,NC,NC Corporation,212000,21544022,4567332664000,4567332664000,00261443,582,12,CFS,KRW,standard,346670401234.0,3364869232962.0,94215383021.0,3058458965781.0,1150.0,17876.0,6.4,False,,,0,False
066970,엘앤에프,"L&F CO.,LTD",109100,40686184,4438862674400,4438862674400,00398701,28202,12,CFS,KRW,standard,-533545279689.0,673078391768.0,-377937820664.0,713602484182.0,0.0,-15508.0,0.0,False,,,0,False
011790,SKC,SKC LTD,89400,49598298,4434087841200,4434087841200,00139889,204,12,CFS,KRW,standard,-734388238284.0,832066725740.0,-443482911248.0,1172309309435.0,0.0,-25549.0,0.0,False,,,0,False
051900,LG생활건강,"LG H&H Co., Ltd.",292500,14975523,4380340477500,4584935355900,00356370,20422,12,CFS,KRW,standard,-100095349667.0,5449473672307.0,189134758428.0,5566264371939.0,2000.0,-5980.0,-33.6,True,20241122,,2,False
271560,오리온,ORION CORP.,110100,39528788,4352119558800,4352119558800,01238169,108,12,CFS,KRW,standard,382705010974.0,3808663397961.0,524592568051.0,3471235408182.0,3500.0,9682.0,36.2,True,20250630,,3,False
